age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category
55,116.4,1.87,8.34,FALSE,Chandigarh,private_job,Medium
36,94.8,1.66,32.69,TRUE,Chennai,unemployed,Medium
23,106.6,1.58,2.29,FALSE,Kota,student,Medium
55,66.7,1.88,25.23,TRUE,Jaipur,private_job,Medium
45,101.9,1.62,28.95,TRUE,Jaipur,private_job,High
18,116.7,1.57,2.96,FALSE,Jalandhar,student,Medium
41,101.3,1.85,30,TRUE,Delhi,government_job,Medium
75,54.5,1.61,3.32,TRUE,Lucknow,retired,High
47,75.7,1.73,24.93,FALSE,Delhi,unemployed,Low
24,101.9,1.55,2.86,TRUE,Kolkata,student,Medium
72,76.8,1.69,1.36,TRUE,Jalandhar,retired,High
72,95.9,1.79,3.31,TRUE,Indore,retired,High
61,118.7,1.82,1.13,FALSE,Jaipur,retired,High
41,101.3,1.81,49.94,TRUE,Jalandhar,unemployed,High
32,102.4,1.68,24.05,TRUE,Chandigarh,unemployed,High
34,72.8,1.83,35.67,FALSE,Chennai,business_owner,Low
47,71.3,1.82,41.66,TRUE,Gaya,business_owner,High
71,117.8,1.78,1.02,FALSE,Chandigarh,retired,High
46,106.3,1.68,38.07,TRUE,Jaipur,unemployed,High
18,63.9,1.59,3.23,FALSE,Indore,student,Low
22,56.4,1.82,2.76,FALSE,Jaipur,student,Low
20,80.3,1.87,0.68,FALSE,Lucknow,student,Low
46,67.2,1.75,6.03448697,FALSE,Lucknow,government_job,Low
69,99.9,1.65,0.57,FALSE,Chandigarh,retired,High
38,54.1,1.81,20.25,FALSE,Chandigarh,unemployed,Low
70,116.3,1.81,3.08,FALSE,Indore,retired,High
69,84.3,1.62,2.22,TRUE,Kolkata,retired,High
63,71.1,1.54,1.88,TRUE,Jalandhar,retired,High
53,62.3,1.74,45.07,FALSE,Hyderabad,unemployed,Low
62,99.1,1.5,1.12,FALSE,Mysore,retired,High
67,114.5,1.74,0.61,TRUE,Mumbai,retired,High
52,95.6,1.85,14.74,TRUE,Jalandhar,freelancer,High
39,55.3,1.56,30,TRUE,Indore,government_job,Low
56,95.8,1.67,50,FALSE,Jalandhar,unemployed,High
41,82.6,1.61,22.19,TRUE,Mysore,freelancer,High
35,56,1.77,12.96,FALSE,Delhi,unemployed,Low
61,83.3,1.85,2.16,TRUE,Kota,retired,High
75,86.2,1.73,0.62,TRUE,Jaipur,retired,High
33,51.4,1.86,34.66,FALSE,Chennai,private_job,Low
35,66,1.89,37.38,FALSE,Hyderabad,freelancer,Low
30,82,1.6,25.5983703,FALSE,Hyderabad,government_job,Low
54,97.4,1.76,30,FALSE,Mumbai,government_job,Low
24,108.8,1.89,4,FALSE,Chennai,student,Low
59,54,1.6,21.07,FALSE,Mumbai,business_owner,Low
38,119.8,1.76,28.46788536,FALSE,Bangalore,government_job,Low
37,62.7,1.85,30,TRUE,Lucknow,government_job,Low
23,79.4,1.85,1.28,FALSE,Indore,student,Low
50,105.4,1.78,10.54228918,FALSE,Bangalore,government_job,Low
36,52.8,1.57,19.64,FALSE,Indore,business_owner,Low
26,113.8,1.54,34.01,FALSE,Delhi,private_job,Low
52,60.8,1.8,44.86,FALSE,Hyderabad,freelancer,Low
27,101.1,1.82,28.3,FALSE,Kolkata,business_owner,Low
40,70,1.59,28.16664037,TRUE,Bangalore,government_job,Low
